id,original_title,GenList,vote_average,For Genre,vote_count,Scores
12230,One Hundred and One Dalmatians,"['Adventure', 'Animation', 'Comedy', 'Family']",6.8,Animation,1643.0,6.55305049358888
10501,The Road to El Dorado,"['Adventure', 'Animation', 'Comedy', 'Family']",7.0,Animation,892.0,6.54772690436207
10948,The Fox and the Hound,"['Adventure', 'Animation', 'Drama', 'Family']",7.0,Animation,884.0,6.544981695890823
228161,Home,"['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']",6.8,Animation,1539.0,6.540033388334569
3170,Bambi,"['Animation', 'Drama', 'Family']",6.8,Animation,1450.0,6.527752587677338
17578,The Adventures of Tintin,"['Adventure', 'Animation', 'Mystery']",6.7,Animation,2095.0,6.514347914268132
10882,Sleeping Beauty,"['Fantasy', 'Animation', 'Romance', 'Family']",6.8,Animation,1332.0,6.509561650727126
38055,Megamind,"['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']",6.7,Animation,1968.0,6.504532004656164
920,Cars,"['Animation', 'Adventure', 'Comedy', 'Family']",6.6,Animation,3991.0,6.503703022640476
49444,Kung Fu Panda 2,"['Animation', 'Family']",6.7,Animation,1925.0,6.500969001773678
13,Forrest Gump,"['Comedy', 'Drama', 'Romance']",8.2,Comedy,8147.0,8.069419167367917
637,La vita è bella,"['Comedy', 'Drama']",8.3,Comedy,3643.0,8.014517016233532
77338,Intouchables,"['Drama', 'Comedy']",8.2,Comedy,5410.0,8.00826247008626
105,Back to the Future,"['Adventure', 'Comedy', 'Science Fiction', 'Family']",8.0,Comedy,6239.0,7.845090045734168
120467,The Grand Budapest Hotel,"['Comedy', 'Drama']",8.0,Comedy,4644.0,7.796432822998051
106646,The Wolf of Wall Street,"['Crime', 'Drama', 'Comedy']",7.9,Comedy,6768.0,7.762494567506819
150540,Inside Out,"['Drama', 'Comedy', 'Animation', 'Family']",7.9,Comedy,6737.0,7.761900135989974
19404,Dilwale Dulhania Le Jayenge,"['Comedy', 'Drama', 'Romance']",9.1,Comedy,661.0,7.719987100624753
313369,La La Land,"['Comedy', 'Drama', 'Music', 'Romance']",7.9,Comedy,4745.0,7.708782752497414
14160,Up,"['Animation', 'Comedy', 'Family', 'Adventure']",7.8,Comedy,7048.0,7.673441041858341
177572,Big Hero 6,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",7.8,Comedy,6289.0,7.6591530381056225
37165,The Truman Show,"['Comedy', 'Drama']",7.8,Comedy,4702.0,7.615631985043634
194,Le fabuleux destin d'Amélie Poulain,"['Comedy', 'Romance']",7.8,Comedy,3403.0,7.553214979198359
862,Toy Story,"['Animation', 'Comedy', 'Family']",7.7,Comedy,5415.0,7.545526735370851
269149,Zootopia,"['Animation', 'Adventure', 'Family', 'Comedy']",7.7,Comedy,4961.0,7.532527502351085
115,The Big Lebowski,"['Comedy', 'Crime']",7.8,Comedy,3001.0,7.524333588117643
207703,Kingsman: The Secret Service,"['Crime', 'Comedy', 'Action', 'Adventure']",7.6,Comedy,6069.0,7.467735795045995
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"['Drama', 'Comedy', 'War']",8.0,Comedy,1472.0,7.457652610274976
2108,The Breakfast Club,"['Comedy', 'Drama']",7.8,Comedy,2189.0,7.438995758743463
283995,Guardians of the Galaxy Vol. 2,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",7.6,Comedy,4858.0,7.437468986240382
10193,Toy Story 3,"['Animation', 'Family', 'Comedy']",7.6,Comedy,4710.0,7.432792744009352
122906,About Time,"['Comedy', 'Drama', 'Science Fiction']",7.8,Comedy,2140.0,7.432123494632519
334533,Captain Fantastic,"['Adventure', 'Comedy', 'Drama', 'Romance']",7.9,Comedy,1569.0,7.405584560750926
585,"Monsters, Inc.","['Animation', 'Comedy', 'Family']",7.5,Comedy,6150.0,7.375954719803175
762,Monty Python and the Holy Grail,"['Adventure', 'Comedy', 'Fantasy']",7.8,Comedy,1742.0,7.364837258816224
82702,How to Train Your Dragon 2,"['Fantasy', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family']",7.6,Comedy,3163.0,7.36088014322605
293660,Deadpool,"['Action', 'Adventure', 'Comedy']",7.4,Comedy,11444.0,7.334895258055574
2062,Ratatouille,"['Animation', 'Comedy', 'Family', 'Fantasy']",7.5,Comedy,4510.0,7.3348070135890175
3082,Modern Times,"['Drama', 'Comedy']",8.1,Comedy,881.0,7.280901806223653
137106,The Lego Movie,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",7.5,Comedy,3127.0,7.270650344056193
200727,"Love, Rosie","['Comedy', 'Romance']",7.7,Comedy,1660.0,7.268522385474739
194662,Birdman,"['Drama', 'Comedy']",7.4,Comedy,4657.0,7.248101723666098
165,Back to the Future Part II,"['Adventure', 'Comedy', 'Family', 'Science Fiction']",7.4,Comedy,3926.0,7.222634375042226
747,Shaun of the Dead,"['Horror', 'Comedy']",7.5,Comedy,2479.0,7.219631265082082
812,Aladdin,"['Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy', 'Romance']",7.4,Comedy,3495.0,7.203177876096744
83666,Moonrise Kingdom,"['Comedy', 'Drama', 'Romance']",7.6,Comedy,1701.0,7.19713624130403
914,The Great Dictator,['Comedy'],8.1,Comedy,756.0,7.194862079986642
239,Some Like It Hot,"['Comedy', 'Romance']",8.0,Comedy,835.0,7.185410461137986
2493,The Princess Bride,"['Adventure', 'Family', 'Fantasy', 'Comedy', 'Romance']",7.6,Comedy,1518.0,7.159367763926283
703,Annie Hall,"['Comedy', 'Drama', 'Romance']",7.8,Comedy,1044.0,7.159327385104264
583,Life of Brian,['Comedy'],7.7,Comedy,1230.0,7.157022761528909
808,Shrek,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",7.3,Comedy,4183.0,7.1419072720779955
863,Toy Story 2,"['Animation', 'Comedy', 'Family']",7.3,Comedy,3914.0,7.132126466233695
137,Groundhog Day,"['Romance', 'Fantasy', 'Drama', 'Comedy']",7.4,Comedy,2358.0,7.123025026928405
773,Little Miss Sunshine,"['Comedy', 'Drama']",7.5,Comedy,1728.0,7.122241385376551
4638,Hot Fuzz,"['Crime', 'Action', 'Comedy']",7.4,Comedy,2252.0,7.112094517938982
100,"Lock, Stock and Two Smoking Barrels","['Comedy', 'Crime']",7.5,Comedy,1671.0,7.112012292248981
18785,The Hangover,['Comedy'],7.2,Comedy,6324.0,7.09841460124062
59436,Midnight in Paris,"['Fantasy', 'Comedy', 'Romance']",7.4,Comedy,2049.0,7.088556534508298
318846,The Big Short,"['Comedy', 'Drama']",7.3,Comedy,2679.0,7.065527104138806
20453,3 Idiots,"['Drama', 'Comedy', 'Romance']",7.8,Comedy,850.0,7.062527940174537
872,Singin' in the Rain,"['Comedy', 'Music', 'Romance']",7.9,Comedy,747.0,7.061461367641071
308369,Me and Earl and the Dying Girl,"['Comedy', 'Drama']",7.7,Comedy,962.0,7.052783578212109
620,Ghostbusters,"['Comedy', 'Fantasy']",7.3,Comedy,2431.0,7.045230671966529
9377,Ferris Bueller's Day Off,['Comedy'],7.5,Comedy,1340.0,7.03961999728529
381341,Perfetti sconosciuti,"['Comedy', 'Drama']",7.8,Comedy,803.0,7.034507578968556
114150,Pitch Perfect,"['Comedy', 'Music', 'Romance']",7.3,Comedy,2310.0,7.0339963101982885
